key,rank,lemma,pos,gloss,prompt
aika|noun,38,aika,noun,time,"an hourglass as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
vuosi|noun,86,vuosi,noun,year,"a wall calendar showing twelve months as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
päivä|noun,90,päivä,noun,day,"the sun high over a small house as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
raha|noun,132,raha,noun,money,"a pile of coins and banknotes as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ilta|noun,199,ilta,noun,evening,"a sunset over rooftops as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, bright summer afternoon with a few fluffy clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
yö|noun,203,yö,noun,night,"the moon and stars over a sleeping town as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
tunti|noun,228,tunti,noun,hour,"a round clock face as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
perhe|noun,231,perhe,noun,"family, nuclear family, immediate family","a family of parents with two children as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
viikko|noun,240,viikko,noun,week,"a calendar strip of seven days as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, warm golden sunset sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
matka|noun,255,matka,noun,"journey, trip, voyage","a suitcase on a winding road as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, warm golden sunset sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
onni|noun,259,onni,noun,"happiness, pleasure, contentment","a person jumping for joy as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, warm golden sunset sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kuva|noun,275,kuva,noun,"picture, figure","a framed picture hanging on a wall as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
huone|noun,296,huone,noun,room,"a cozy room interior as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
tie|noun,304,tie,noun,"way, road, path","a country road as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
minuutti|noun,310,minuutti,noun,minute,"a stopwatch as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kysymys|noun,340,kysymys,noun,question,"a big question mark on a signpost as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
